stim_name,mem_score,Correct,Incorrect,Timeout,word_recall_performance,stim_name_clean,mem_level,avg_memory_rt,avg_word_rt
alleyway_forg,0.43,19,12,0,0.6129032258064516,alleyway,forg,1731.6129032258063,2185.8387096774195
alleyway_mem,0.833,18,12,1,0.6,alleyway,mem,1764.2758620689656,2339.1724137931033
arch_forg,0.5,16,14,1,0.5333333333333333,arch,forg,2178.1428571428573,2667.25
arch_mem,0.828,29,2,0,0.9354838709677419,arch,mem,1436.0967741935483,1644.7096774193549
baseball_field_forg,0.507,20,11,0,0.6451612903225806,baseball field,forg,2242.0666666666666,3375.0333333333333
baseball_field_mem,0.855,15,16,0,0.4838709677419355,baseball field,mem,2067.423076923077,2955.269230769231
bathroom_forg,0.521,27,4,0,0.8709677419354839,bathroom,forg,1928.3870967741937,1784.225806451613
bathroom_mem,0.859,31,0,0,1,bathroom,mem,1710.9666666666667,1837.2
bedroom_forg,0.456,25,6,0,0.8064516129032258,bedroom,forg,1877.392857142857,1773.75
bedroom_mem,0.884,30,1,0,0.967741935483871,bedroom,mem,1602.1290322580646,1718.4516129032259
brick_building_forg,0.529,19,12,0,0.6129032258064516,brick building,forg,2063.296296296296,2753.4814814814813
brick_building_mem,0.815,20,11,0,0.6451612903225806,brick building,mem,2218,3121.962962962963
building_columns_forg,0.444,15,12,4,0.5555555555555556,building columns,forg,2230.576923076923,2918.9615384615386
building_columns_mem,0.854,15,14,2,0.5172413793103449,building columns,mem,2349.5172413793102,3757.9655172413795
canal_forg,0.476,21,8,2,0.7241379310344828,canal,forg,2275.1153846153848,2525.6923076923076
canal_mem,0.812,18,12,1,0.6,canal,mem,2073.36,2410.56
car_dealership_forg,0.532,25,6,0,0.8064516129032258,car dealership,forg,1646.2413793103449,3278.551724137931
car_dealership_mem,0.9,25,5,1,0.8333333333333334,car dealership,mem,1708.4516129032259,2336.451612903226
cavern_forg,0.487,24,3,4,0.8888888888888888,cavern,forg,2036.3103448275863,2268.1724137931033
cavern_mem,0.828,22,8,1,0.7333333333333333,cavern,mem,1602.2758620689656,2273.9310344827586
city_street_forg,0.443,20,10,1,0.6666666666666666,city street,forg,2149.346153846154,2985.8076923076924
city_street_mem,0.831,20,10,1,0.6666666666666666,city street,mem,1931.107142857143,2829.0714285714284
deli_forg,0.508,22,9,0,0.7096774193548387,deli,forg,1905.741935483871,2035.1935483870968
deli_mem,0.849,29,1,1,0.9666666666666667,deli,mem,2167.133333333333,1490.8333333333333
factory_forg,0.5,19,12,0,0.6129032258064516,factory,forg,2070.7727272727275,1633.590909090909
factory_mem,0.855,22,9,0,0.7096774193548387,factory,mem,1780.72,1961.24
farmland_forg,0.533,18,11,2,0.6206896551724138,farmland,forg,1978.0454545454545,2659.7727272727275
farmland_mem,0.868,24,7,0,0.7741935483870968,farmland,mem,1837.896551724138,2284.9310344827586
flood_forg,0.506,27,3,1,0.9,flood,forg,1581.857142857143,1465.857142857143
flood_mem,0.882,28,3,0,0.9032258064516129,flood,mem,1708.5666666666666,1514.5666666666666
football_stadium_forg,0.485,14,17,0,0.45161290322580644,football stadium,forg,1745.8846153846155,3630.769230769231
football_stadium_mem,0.819,19,10,2,0.6551724137931034,football stadium,mem,2365.9166666666665,3142.625
forest_forg,0.487,27,4,0,0.8709677419354839,forest,forg,1652.1666666666667,1395.1666666666667
forest_mem,0.837,28,3,0,0.9032258064516129,forest,mem,1460.8620689655172,1430.6206896551723
fountain_forg,0.506,22,9,0,0.7096774193548387,fountain,forg,1545.32,1715.6
fountain_mem,0.889,27,4,0,0.8709677419354839,fountain,mem,1872.9333333333334,1870.5333333333333
glacier_forg,0.469,30,1,0,0.967741935483871,glacier,forg,1881.2413793103449,1626.448275862069
glacier_mem,0.86,22,9,0,0.7096774193548387,glacier,mem,1666.448275862069,1823.3103448275863
highway_forg,0.536,20,11,0,0.6451612903225806,highway,forg,2355.36,1767.64
highway_mem,0.855,30,1,0,0.967741935483871,highway,mem,2200.633333333333,1803.1333333333334
hot_tub_forg,0.426,26,4,1,0.8666666666666667,hot tub,forg,1735.1851851851852,1919.3703703703704
hot_tub_mem,0.882,25,5,1,0.8333333333333334,hot tub,mem,1765.6129032258063,2504.7741935483873
house_forg,0.391,27,4,0,0.8709677419354839,house,forg,1586.6538461538462,1329.8461538461538
house_mem,0.87,22,9,0,0.7096774193548387,house,mem,2467.1724137931033,1613.7241379310344
ice_forg,0.36,24,7,0,0.7741935483870968,ice,forg,2040.3461538461538,1576.6153846153845
ice_mem,0.857,23,8,0,0.7419354838709677,ice,mem,1718.2,1496.5666666666666
japanese_shrine_forg,0.522,21,7,3,0.75,japanese shrine,forg,1878.3225806451612,3278.548387096774
japanese_shrine_mem,0.841,23,7,1,0.7666666666666667,japanese shrine,mem,1658.9032258064517,2904.8387096774195
mall_forg,0.52,27,4,0,0.8709677419354839,mall,forg,1822.3,1517.8
mall_mem,0.816,30,1,0,0.967741935483871,mall,mem,1635.25,1350.607142857143
mountain_road_forg,0.451,21,8,2,0.7241379310344828,mountain road,forg,1769.5555555555557,2694.4444444444443
mountain_road_mem,0.847,22,8,1,0.7333333333333333,mountain road,mem,2077.5384615384614,2547.153846153846
ocean_forg,0.507,24,6,1,0.8,ocean,forg,2086.214285714286,2319.035714285714
ocean_mem,0.813,26,5,0,0.8387096774193549,ocean,mem,1751.3793103448277,1848.9655172413793
outdoor_court_forg,0.457,17,11,3,0.6071428571428571,outdoor court,forg,1998.1,3108.633333333333
outdoor_court_mem,0.818,18,12,1,0.6,outdoor court,mem,1564.2758620689656,2663.3793103448274
patio_forg,0.527,29,2,0,0.9354838709677419,patio,forg,1667.3870967741937,1393.032258064516
patio_mem,0.829,24,7,0,0.7741935483870968,patio,mem,2153.222222222222,2043.9259259259259
place_of_worship_forg,0.536,23,8,0,0.7419354838709677,place of worship,forg,1786.7333333333333,2874.6666666666665
place_of_worship_mem,0.848,19,12,0,0.6129032258064516,place of worship,mem,2084.137931034483,3366.0344827586205
ranch_forg,0.427,20,10,1,0.6666666666666666,ranch,forg,2348.222222222222,2246.4444444444443
ranch_mem,0.886,21,9,1,0.7,ranch,mem,2050.1666666666665,2268.0666666666666
restaurant_forg,0.468,23,7,1,0.7666666666666667,restaurant,forg,1887.9655172413793,2620.448275862069
restaurant_mem,0.827,28,2,1,0.9333333333333333,restaurant,mem,1708.3666666666666,2155.3333333333335
river_bridge_forg,0.513,19,11,1,0.6333333333333333,river bridge,forg,2028,2922.25
river_bridge_mem,0.846,20,11,0,0.6451612903225806,river bridge,mem,1946.0740740740741,2477.962962962963
roundabout_forg,0.423,21,9,1,0.7,roundabout,forg,2051.6428571428573,2843.035714285714
roundabout_mem,0.849,29,2,0,0.9354838709677419,roundabout,mem,2038.483870967742,1851.258064516129
runway_forg,0.507,26,5,0,0.8387096774193549,runway,forg,1822.344827586207,1940.5862068965516
runway_mem,0.813,19,10,2,0.6551724137931034,runway,mem,1741.1785714285713,2724.3928571428573
smokestacks_forg,0.526,16,14,1,0.5333333333333333,smokestacks,forg,2063.1923076923076,2548.3846153846152
smokestacks_mem,0.896,23,7,1,0.7666666666666667,smokestacks,mem,2299.0714285714284,2774.464285714286
stone_circle_forg,0.432,18,11,2,0.6206896551724138,stone circle,forg,2038.36,3062.36
stone_circle_mem,0.906,25,6,0,0.8064516129032258,stone circle,mem,1822.4615384615386,3165.269230769231
stream_forg,0.519,24,7,0,0.7741935483870968,stream,forg,1894.142857142857,1986.107142857143
stream_mem,0.87,24,6,1,0.8,stream,mem,1875.6666666666667,2051.0666666666666
sunset_forg,0.521,25,6,0,0.8064516129032258,sunset,forg,1912.2222222222222,1663.2962962962963
sunset_mem,0.816,28,3,0,0.9032258064516129,sunset,mem,1823.7692307692307,1475.9615384615386
theater_forg,0.463,15,15,1,0.5,theater,forg,2185.0689655172414,2670.5862068965516
theater_mem,0.845,26,5,0,0.8387096774193549,theater,mem,1851.967741935484,2198.1290322580644
tracks_forg,0.372,23,7,1,0.7666666666666667,tracks,forg,2234.8571428571427,2435.75
tracks_mem,0.887,19,12,0,0.6129032258064516,tracks,mem,1899.5555555555557,2354.1481481481483
train_bridge_forg,0.429,19,11,1,0.6333333333333333,train bridge,forg,2066.5333333333333,3433.9333333333334
train_bridge_mem,0.859,26,5,0,0.8387096774193549,train bridge,mem,2072.6153846153848,2674.653846153846
